,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
46,"00:02:51,212","00:02:53,006",<i>I had smoked some reefer...</i>,1,1.6200000000000045,"#21, ","172.74, ","174.36, ",171.21,173.01
47,"00:02:54,215","00:02:55,675",<i>with some rappers.</i>,1,1.490000000000009,"#22, ","176.5, ","177.99, ",174.22,175.68
48,"00:02:56,801","00:03:00,054","<i>Yeah. I don't know if you know anything</i> <i>about hanging out with rappers,</i>",0,0.0,,,,176.8,180.05
49,"00:03:00,138","00:03:02,348","<i>but their weed is very strong,</i>",0,0.0,,,,180.14,182.35
50,"00:03:03,057","00:03:05,727",<i>stronger than I what I was accustomed to.</i>,1,1.0100000000000193,"#23, ","185.32, ","186.33, ",183.06,185.73
51,"00:03:05,810","00:03:08,354","<i>The article goes on</i> <i>to say I was booed offstage,</i>",0,0.0,,,,185.81,188.35
52,"00:03:08,438","00:03:10,148",<i>which is also incorrect.</i>,0,0.0,,,,188.44,190.15
53,"00:03:10,231","00:03:11,649",<i>I was booed.</i>,1,10.849999999999994,"#24, ","192.03, ","202.88, ",190.23,191.65
54,"00:03:12,525","00:03:14,027",<i>I did not leave.</i>,0,0.0,,,,192.53,194.03
55,"00:03:17,238","00:03:18,781",<i>It was a long bomb.</i>,0,0.0,,,,197.24,198.78
56,"00:03:20,950","00:03:23,995","<i>It was a fucking nightmare.</i> <i>Two puffs of weed, that's all it was.</i>",0,0.0,,,,200.95,204.0
57,"00:03:24,078","00:03:25,079",<i>Two puffs.</i>,1,1.4000000000000057,"#25, ","205.63, ","207.03, ",204.08,205.08
58,"00:03:26,039","00:03:28,124","<i>I never had that happen,</i> <i>where I take two puffs of weed,</i>",0,0.0,,,,206.04,208.12
59,"00:03:28,207","00:03:30,376","<i>I looked at the guy next to me,</i> <i>I was like, ""I'm gonna bomb, nigga.</i>",0,0.0,,,,208.21,210.38
60,"00:03:30,460","00:03:31,461","<i>I can feel it.""</i>",2,2.9499999999999886,"#26, #27, ","210.79, 213.41, ","212.51, 214.64, ",210.46,211.46
61,"00:03:34,047","00:03:35,256",<i>And that guy called my name.</i>,0,0.0,,,,214.05,215.26
62,"00:03:35,340","00:03:38,509","<i>[slow and distorted speech]</i> <i>""Dave Chappelle!""</i>",0,0.0,,,,215.34,218.51
63,"00:03:38,593","00:03:39,594",<i>Niggas was like...</i>,0,0.0,,,,218.59,219.59
64,"00:03:39,677","00:03:41,179",<i>[slow and distorted cheering]</i>,1,2.009999999999991,"#28, ","220.69, ","222.7, ",219.68,221.18
65,"00:03:43,389","00:03:45,016","<i>Normally, when you do a comedy show--</i>",0,0.0,,,,223.39,225.02
66,"00:03:45,099","00:03:46,809","<i>you guys don't know what it looks like</i> <i>up here,</i>",0,0.0,,,,225.1,226.81
67,"00:03:46,893","00:03:48,228",<i>but niggas be just looking up</i> <i>at you like...</i>,0,0.0,,,,226.89,228.23
68,"00:03:52,106","00:03:53,942",<i>That's how the show started.</i>,1,0.5900000000000034,"#29, ","234.54, ","235.13, ",232.11,233.94
69,"00:03:54,776","00:03:57,695","<i>Didn't take long for their faces</i> <i>to switch up like, ""What the fuck?""</i>",0,0.0,,,,234.78,237.69
70,"00:03:57,779","00:03:59,697",<i>They started looking amongst themselves.</i>,0,0.0,,,,237.78,239.7
71,"00:03:59,781","00:04:02,283",<i>So I knew I wasn't doing good.</i> <i>I don't remember what I was saying.</i>,0,0.0,,,,239.78,242.28
72,"00:04:03,493","00:04:05,912",<i>It just took one person to break the ice.</i>,0,0.0,,,,243.49,245.91
73,"00:04:05,995","00:04:08,331",<i>It was a black lady</i> <i>with a Ford Motor shirt on.</i>,0,0.0,,,,246.0,248.33
74,"00:04:09,457","00:04:11,626","<i>Stood up suddenly.</i> <i>""Fuck you, Dave Chappelle!""</i>",1,0.6699999999999875,"#30, ","250.4, ","251.07, ",249.46,251.63
75,"00:04:11,709","00:04:13,002","<i>I said, ""Excuse me?""</i>",1,1.450000000000017,"#31, ","253.91, ","255.36, ",251.71,253.0
76,"00:04:14,963","00:04:18,007","<i>She said, ""I worked all week</i> <i>for this shit, and this show sucks!""</i>",0,0.0,,,,254.96,258.01
77,"00:04:18,091","00:04:21,010","<i>And in a weird act of racial harmony,</i>",0,0.0,,,,258.09,261.01
78,"00:04:21,094","00:04:23,179",<i>a conservative white guy stood up</i> <i>and backed her up.</i>,0,0.0,,,,261.09,263.18
79,"00:04:23,263","00:04:25,014","<i>""Yeah!""</i>",0,0.0,,,,263.26,265.01
80,"00:04:26,766","00:04:29,435","<i>The whole crowd banded together</i> <i>and started chanting,</i>",0,0.0,,,,266.77,269.44
81,"00:04:29,519","00:04:33,022","<i>""We want our money back!</i> <i>We want our money back!""</i>",0,0.0,,,,269.52,273.02
82,"00:04:33,106","00:04:35,400","<i>I said, ""Oh, shit."" I snapped out of it.</i>",0,0.0,,,,273.11,275.4
83,"00:04:35,483","00:04:41,364","<i>""Good people of Detroit, hear me.</i> <i>Hear me now.</i>",3,2.519999999999982,"#32, #33, #34, ","277.62, 279.55, 281.37, ","278.38, 280.33, 282.35, ",275.48,281.36
84,"00:04:43,992","00:04:46,202","<i>You will never get</i> <i>your fucking money back.""</i>",2,6.6299999999999955,"#35, #36, ","285.5, 287.79, ","286.36, 293.56, ",283.99,286.2
85,"00:04:48,454","00:04:49,789",<i>Fuck that.</i>,0,0.0,,,,288.45,289.79
86,"00:04:52,917","00:04:55,920","<i>I said, ""I'm like Evel Knievel.</i> <i>I get paid for the attempt.</i>",1,1.0199999999999818,"#37, ","296.42, ","297.44, ",292.92,295.92
87,"00:04:57,297","00:04:59,299","<i>I didn't promise this shit would be good.""</i>",1,0.5699999999999932,"#38, ","300.18, ","300.75, ",297.3,299.3
88,"00:05:00,508","00:05:03,052","<i>""Boo!"" They said, ""Fuck you!""</i>",0,0.0,,,,300.51,303.05
89,"00:05:03,136","00:05:06,347","<i>This went on for a long time.</i> <i>And then, after the show, I felt so bad,</i>",1,0.6899999999999977,"#39, ","304.32, ","305.01, ",303.14,306.35
90,"00:05:06,431","00:05:09,350",<i>I took half of the money from the show--</i> <i>thousands of dollars--</i>,0,0.0,,,,306.43,309.35
91,"00:05:09,434","00:05:11,978","<i>I said, ""I'm gonna give this to charity.""</i> <i>You know what I did?</i>",0,0.0,,,,309.43,311.98
92,"00:05:12,061","00:05:15,565","<i>I bought $25,000 worth of bubble gum</i>",0,0.0,,,,312.06,315.56
93,"00:05:15,648","00:05:18,443",<i>and drove around Detroit</i> <i>and handed it out to the homeless</i>,1,0.8799999999999955,"#40, ","317.07, ","317.95, ",315.65,318.44
94,"00:05:18,526","00:05:21,029",<i>so they could chew it</i> <i>and still be hungry.</i>,1,5.319999999999993,"#41, ","320.8, ","326.12, ",318.53,321.03
95,"00:05:25,658","00:05:28,036",<i>I was very mad at Detroit that night.</i>,1,2.890000000000043,"#42, ","327.15, ","330.04, ",325.66,328.04
96,"00:05:29,370","00:05:31,247","<i>Because not only did I bomb,</i>",0,0.0,,,,329.37,331.25
97,"00:05:31,331","00:05:35,960",<i>I had to go back to the very same room</i> <i>the next night and do it all over again.</i>,0,0.0,,,,331.33,335.96
98,"00:05:36,044","00:05:39,964",<i>Fucking nightmare. That would be like</i> <i>if you were having sex with a woman</i>,0,0.0,,,,336.04,339.96
99,"00:05:40,048","00:05:42,050","<i>and, for some reason--</i> <i>this would never happen--</i>",0,0.0,,,,340.05,342.05
100,"00:05:42,133","00:05:45,678","<i>but for some reason,</i> <i>she had a mousetrap in her pussy.</i>",1,2.3000000000000114,"#43, ","345.09, ","347.39, ",342.13,345.68
101,"00:05:47,430","00:05:48,765",<i>You get caught in the trap.</i>,1,1.079999999999984,"#44, ","349.2, ","350.28, ",347.43,348.76
102,"00:05:49,474","00:05:51,934",<i>And then you've got to fuck her again</i> <i>tomorrow night.</i>,2,2.140000000000043,"#45, #46, ","350.89, 352.11, ","351.67, 353.47, ",349.47,351.93
103,"00:05:52,977","00:05:56,022","<i>I'd still do it,</i> <i>but I'd be careful the next time.</i>",0,0.0,,,,352.98,356.02
104,"00:05:57,065","00:05:59,484","<i>The old mousetrap-in-the-pussy trick, eh?</i>",0,0.0,,,,357.06,359.48
105,"00:06:00,693","00:06:01,694",<i>Fool me once.</i>,1,1.8100000000000023,"#47, ","363.14, ","364.95, ",360.69,361.69
106,"00:06:03,488","00:06:04,906",<i>[chuckling]</i>,1,0.5800000000000409,"#48, ","366.77, ","367.35, ",363.49,364.91
