,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
47,"00:02:56,551","00:02:58,845",I seen some black shit dripping right here.,2,3.1699999999999875,"#32, #33, ","177.31, 185.73, ","179.17, 187.04, ",176.55,178.84
48,"00:03:06,019","00:03:08,230","By the time he got to the end of the concert,",0,0.0,,,,186.02,188.23
49,"00:03:08,313","00:03:11,817",he did a 360 and three Adidas stripes right here on his forehead.,1,11.179999999999978,"#34, ","189.24, ","200.42, ",188.31,191.82
50,"00:03:12,526","00:03:15,570",<i>♪ My whole life has changed </i>♪,0,0.0,,,,192.53,195.57
51,"00:03:16,071","00:03:17,489",<i>♪ Since you've been in... ♪</i>,0,0.0,,,,196.07,197.49
52,"00:03:18,532","00:03:21,660",Motherfuckin' hairline done changed too since we've been up here.,1,2.700000000000017,"#35, ","202.17, ","204.87, ",198.53,201.66
53,"00:03:23,161","00:03:24,705",[laughing],0,0.0,,,,203.16,204.71
54,"00:03:26,581","00:03:27,708",All these sexy ladies.,1,1.6599999999999966,"#36, ","207.02, ","208.68, ",206.58,207.71
55,"00:03:27,791","00:03:29,084","I like coming to D.C.,",0,0.0,,,,207.79,209.08
56,"00:03:29,167","00:03:31,878",looking at all these beautiful ladies sitting in the audience.,3,4.03000000000003,"#37, #38, #39, ","210.56, 212.67, 215.41, ","211.66, 214.55, 216.46, ",209.17,211.88
57,"00:03:32,212","00:03:34,214",[audience cheering],0,0.0,,,,212.21,214.21
58,"00:03:35,716","00:03:36,550",Yeah.,0,0.0,,,,215.72,216.55
59,"00:03:38,009","00:03:41,263","I go to some cities, it's hard to look in the fucking audience.",0,0.0,,,,218.01,221.26
60,"00:03:42,848","00:03:46,268",'Cause all the werewolves buy all the first front-row tickets.,2,1.8300000000000125,"#40, #41, ","225.53, 227.51, ","226.24, 228.63, ",222.85,226.27
61,"00:03:47,853","00:03:50,689",Three rows of werewolves right in a fucking row.,1,2.569999999999993,"#42, ","229.74, ","232.31, ",227.85,230.69
62,"00:03:51,732","00:03:54,776","And they in the front, ""Woo!""",1,1.0,"#43, ","234.2, ","235.2, ",231.73,234.78
63,"00:03:54,943","00:03:56,903",[howling],1,6.610000000000014,"#44, ","236.57, ","243.18, ",234.94,236.9
64,"00:03:56,987","00:03:59,406","""Mike Epps!""",0,0.0,,,,236.99,239.41
65,"00:03:59,906","00:04:03,118","I'm like, ""How'd these ugly ass bitches get front row seats like that?""",1,1.039999999999992,"#45, ","245.99, ","247.03, ",239.91,243.12
66,"00:04:06,246","00:04:07,998","All the fine bitches in the back,",1,1.9799999999999898,"#46, ","247.69, ","249.67, ",246.25,248.0
67,"00:04:08,081","00:04:09,332","""Mike!""",1,3.079999999999984,"#47, ","250.21, ","253.29, ",248.08,249.33
68,"00:04:10,709","00:04:12,836","Poorer than a motherfucker, ""Mike!""",1,1.4600000000000364,"#48, ","256.52, ","257.98, ",250.71,252.84
69,"00:04:16,882","00:04:17,716",[chuckles],0,0.0,,,,256.88,257.72
70,"00:04:18,550","00:04:21,011","Yeah, I was just in Arkansas. Shit!",0,0.0,,,,258.55,261.01
71,"00:04:22,179","00:04:25,015",I don't know what the fuck. They ain't drinking water down there.,1,1.0,"#49, ","266.24, ","267.24, ",262.18,265.01
72,"00:04:26,516","00:04:28,477","And two of the girls got backstage, they was like,",0,0.0,,,,266.52,268.48
73,"00:04:28,560","00:04:30,353","""What you doing after this?""",1,1.669999999999959,"#50, ","270.98, ","272.65, ",268.56,270.35
74,"00:04:31,229","00:04:32,606","I said, ""Going to bed.",1,3.009999999999991,"#51, ","273.82, ","276.83, ",271.23,272.61
75,"00:04:34,149","00:04:36,693",I'm not fucking neither one of y'all. Security!,0,0.0,,,,274.15,276.69
76,"00:04:38,945","00:04:41,114",Two circles is back here bothering me.,1,1.420000000000016,"#52, ","284.25, ","285.67, ",278.94,281.11
77,"00:04:44,659","00:04:46,912","Two Cheerios with legs and arms,",1,2.849999999999966,"#53, ","286.99, ","289.84, ",284.66,286.91
78,"00:04:47,370","00:04:49,664",is back here fucking with me right now.,0,0.0,,,,287.37,289.66
79,"00:04:50,874","00:04:53,752","A grape and a marshmallow just left.""",1,1.6100000000000136,"#54, ","293.59, ","295.2, ",290.87,293.75
80,"00:05:01,218","00:05:03,637","Ladies, stop putting them eyelashes on your car.",0,0.0,,,,301.22,303.64
81,"00:05:06,348","00:05:09,684","You want a motherfucker to respect you, but your car look like a ho.",0,0.0,,,,306.35,309.68
82,"00:05:11,353","00:05:13,605","Your car riding around trying to give that pussy away,",0,0.0,,,,311.35,313.61
83,"00:05:13,688","00:05:15,065",just blinking in the hood.,1,0.6899999999999977,"#55, ","318.55, ","319.24, ",313.69,315.06
84,"00:05:18,944","00:05:22,155","Niggas be like, ""Man, I'll fuck that car when I get a chance.""",2,2.2799999999999727,"#56, #57, ","321.37, 322.99, ","322.09, 324.55, ",318.94,322.15
85,"00:05:26,576","00:05:27,536","Yeah, women ain't right.",0,0.0,,,,326.58,327.54
86,"00:05:27,619","00:05:30,038","They'll let you put your whole face in their ass and then say,",0,0.0,,,,327.62,330.04
87,"00:05:30,121","00:05:31,289","""You a nasty nigga.""",0,0.0,,,,330.12,331.29
88,"00:05:31,373","00:05:32,415","You're like, ""Hey!""",1,1.170000000000016,"#58, ","333.4, ","334.57, ",331.37,332.42
89,"00:05:33,792","00:05:35,961","Now you're riding home smelling your top lip, mad.",2,2.519999999999925,"#59, #60, ","335.66, 339.24, ","336.77, 340.65, ",333.79,335.96
90,"00:05:40,340","00:05:42,509",You got a booty-hole mustache.,1,0.8199999999999932,"#61, ","341.77, ","342.59, ",340.34,342.51
91,"00:05:43,593","00:05:45,303",Spitting out the window. [spits],2,2.099999999999966,"#62, #63, ","343.65, 346.55, ","344.34, 347.96, ",343.59,345.3
92,"00:05:46,930","00:05:47,764",[spits],0,0.0,,,,346.93,347.76
93,"00:05:50,141","00:05:52,394",I ain't never did that. I seen it on Lifetime.,1,3.1100000000000136,"#64, ","351.53, ","354.64, ",350.14,352.39
94,"00:05:52,477","00:05:53,812","I seen it-- Shut up, motherfuckers!",0,0.0,,,,352.48,353.81
95,"00:05:53,895","00:05:56,940",I seen it on the Lifetime channel. I ain't gotta sit there and lie to y'all.,0,0.0,,,,353.89,356.94
96,"00:05:57,440","00:06:00,902","Y'all looking at me like, ""Oh, you done had your face in an ass or two.""",1,1.6299999999999955,"#65, ","359.08, ","360.71, ",357.44,360.9
97,"00:06:01,570","00:06:02,612",[chuckling],1,1.5699999999999932,"#66, ","361.77, ","363.34, ",361.57,362.61
98,"00:06:04,489","00:06:05,824","Yeah, man. Shit.",0,0.0,,,,364.49,365.82
99,"00:06:05,907","00:06:08,577",It's cold outside. It's cold as a ho's heart outside.,1,1.339999999999975,"#67, ","369.12, ","370.46, ",365.91,368.58
100,"00:06:09,411","00:06:12,372","Hell, yeah. I seen Ice-T and Coco. Man, I love Ice-T.",0,0.0,,,,369.41,372.37
101,"00:06:12,455","00:06:14,374",I've been looking at Ice-T since six in the morning.,0,0.0,,,,372.45,374.37
102,"00:06:14,457","00:06:15,625",You know what I'm sayin'?,0,0.0,,,,374.46,375.62
103,"00:06:15,709","00:06:17,127",I'm a big fan of Ice-T.,0,0.0,,,,375.71,377.13
104,"00:06:17,210","00:06:19,004",I seen him in the airport with his girl.,0,0.0,,,,377.21,379.0
105,"00:06:19,087","00:06:20,922","He's like, ""Mike, we need to do a movie together.""",0,0.0,,,,379.09,380.92
106,"00:06:21,006","00:06:22,966","I said, ""All right."" But in my mind I said,",1,1.4099999999999682,"#68, ","381.41, ","382.82, ",381.01,382.97
107,"00:06:23,049","00:06:25,594","""Man, they only give you two lines on <i>Law & Order.""</i>",2,5.090000000000032,"#69, #70, ","385.13, 387.77, ","385.94, 392.05, ",383.05,385.59
108,"00:06:27,804","00:06:29,514",It's fucked up how they do Ice-T.,0,0.0,,,,387.8,389.51
109,"00:06:29,598","00:06:32,183",They done cut his ponytail and his lines.,1,1.089999999999975,"#71, ","394.73, ","395.82, ",389.6,392.18
110,"00:06:35,103","00:06:37,230","I seen him on there the other night. He came on there,",0,0.0,,,,395.1,397.23
111,"00:06:37,314","00:06:40,275","[imitating Ice-T] ""Homicide called this morning, said three kids missing.""",2,3.5699999999999363,"#72, #73, ","400.19, 402.41, ","401.58, 404.59, ",397.31,400.27
112,"00:06:43,778","00:06:45,780",[singing <i>Law & Order</i> theme],1,5.430000000000007,"#74, ","405.8, ","411.23, ",403.78,405.78
113,"00:06:46,114","00:06:49,367","I said, ""Goddamn."" The man said two words on there,",0,0.0,,,,406.11,409.37
114,"00:06:49,451","00:06:51,202",and then they cut him off.,1,1.9700000000000273,"#75, ","412.77, ","414.74, ",409.45,411.2
115,"00:06:53,121","00:06:56,875","He leaned over a dead body the other night and said, ""Yep, that's him.""",2,2.6299999999999955,"#76, #77, ","415.79, 417.74, ","417.19, 418.97, ",413.12,416.88
116,"00:06:58,209","00:07:00,503",[singing theme],1,3.2099999999999795,"#78, ","420.07, ","423.28, ",418.21,420.5
117,"00:07:00,587","00:07:02,839","I said, ""Oh, man. His ass is out of there.""",1,2.3500000000000227,"#79, ","425.38, ","427.73, ",420.59,422.84
118,"00:07:05,759","00:07:07,302",[chuckling],0,0.0,,,,425.76,427.3
119,"00:07:09,304","00:07:11,640","Yeah, there's a lot of old men in here",0,0.0,,,,429.3,431.64
120,"00:07:11,723","00:07:13,850",'cause there's a bunch of Chryslers outside.,1,3.069999999999993,"#80, ","432.88, ","435.95, ",431.72,433.85
121,"00:07:15,310","00:07:19,856",They've got Chryslers and Polars and Cordobas.,1,1.0200000000000387,"#81, ","441.08, ","442.1, ",435.31,439.86
122,"00:07:21,399","00:07:23,026","Yeah, I can tell I'm getting old",0,0.0,,,,441.4,443.03
123,"00:07:23,109","00:07:25,320",'cause I used to be able to piss from here to that wall right there.,0,0.0,,,,443.11,445.32
124,"00:07:26,237","00:07:27,739",Now I pee on everything...,0,0.0,,,,446.24,447.74
125,"00:07:27,822","00:07:31,576","toilet seat, floor, leg, foot, hand, wall.",2,2.6299999999999955,"#82, #83, ","447.86, 449.82, ","449.55, 450.76, ",447.82,451.58
126,"00:07:33,536","00:07:34,621","You know, the older you get,",0,0.0,,,,453.54,454.62
127,"00:07:34,704","00:07:36,873",you get a built-in sprinkler system in your dick.,0,0.0,,,,454.7,456.87
128,"00:07:40,001","00:07:42,420","The hole be open, but it come out five ways.",1,1.240000000000009,"#84, ","463.09, ","464.33, ",460.0,462.42
129,"00:07:43,630","00:07:44,714",[imitating water spraying],1,0.9200000000000159,"#85, ","466.3, ","467.22, ",463.63,464.71
130,"00:07:46,549","00:07:49,219","That's why I tell fellas, ""You'd better use your penis<i></i>as much as you can",0,0.0,,,,466.55,469.22
131,"00:07:49,302","00:07:51,137","'cause it's gonna die before you.""",0,0.0,,,,469.3,471.14
132,"00:07:52,430","00:07:54,933","Yeah, man, you keep living if you want to.",1,0.6099999999999568,"#86, ","472.91, ","473.52, ",472.43,474.93
133,"00:07:55,016","00:07:57,143",You gonna be by your motherfucking self.,1,0.8100000000000023,"#87, ","477.0, ","477.81, ",475.02,477.14
134,"00:07:57,560","00:07:59,229","Your dick gonna die, fellas.",1,0.6899999999999977,"#88, ","479.84, ","480.53, ",477.56,479.23
135,"00:08:00,021","00:08:02,190","So if a woman get mad if you ask for some pussy,",0,0.0,,,,480.02,482.19
136,"00:08:02,273","00:08:03,441",so fucking what!,0,0.0,,,,482.27,483.44
137,"00:08:04,484","00:08:06,861",I'm working on borrowed time down there.,2,3.0599999999999454,"#89, #90, ","485.1, 488.52, ","486.78, 489.9, ",484.48,486.86
138,"00:08:08,780","00:08:11,282","Yeah, tell her. Shit. And women tell each other.",0,0.0,,,,488.78,491.28
139,"00:08:11,366","00:08:12,659","If your dick don't work,",0,0.0,,,,491.37,492.66
140,"00:08:12,742","00:08:14,452","they'll tell another woman in the community,",0,0.0,,,,492.74,494.45
141,"00:08:14,536","00:08:15,870",and the whole place--,1,1.7799999999999727,"#91, ","495.04, ","496.82, ",494.54,495.87
142,"00:08:16,037","00:08:16,913",Yeah.,0,0.0,,,,496.04,496.91
143,"00:08:17,372","00:08:19,165",And you can tell the women that heard about it,0,0.0,,,,497.37,499.17
144,"00:08:19,249","00:08:21,418","because they'd be looking at you going like that, ""Huh!""",1,3.400000000000034,"#92, ","500.77, ","504.17, ",499.25,501.42
145,"00:08:21,501","00:08:23,962","And you go, ""Hey, that's the third fucking woman",0,0.0,,,,501.5,503.96
146,"00:08:24,045","00:08:27,382",that done said 'huh' to me. What the fuck is going on around here?,1,1.9099999999999682,"#93, ","508.17, ","510.08, ",504.05,507.38
147,"00:08:28,258","00:08:29,926","You didn't say something, Barbara?""",0,0.0,,,,508.26,509.93
148,"00:08:33,054","00:08:35,140","There's some old women running around and hate on each other,",1,1.5599999999999454,"#94, ","514.0, ","515.56, ",513.05,515.14
149,"00:08:35,223","00:08:36,725",hate on other old men and shit.,0,0.0,,,,515.22,516.73
150,"00:08:36,808","00:08:39,394",You be in the gym. You see them old men in the gym,0,0.0,,,,516.81,519.39
151,"00:08:39,477","00:08:42,022",trying to still keep it together. Got their little cocoa butter on.,2,2.1900000000000546,"#95, #96, ","521.03, 523.27, ","522.02, 524.47, ",519.48,522.02
152,"00:08:43,523","00:08:45,859",I know y'all seen them little old men walking around.,1,1.0900000000000318,"#97, ","526.43, ","527.52, ",523.52,525.86
153,"00:08:46,860","00:08:48,236",Always got a saying.,0,0.0,,,,526.86,528.24
