,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
52,"00:03:34,467","00:03:35,843",[cheers and applause],0,0.0,,,,214.47,215.84
53,"00:03:37,720","00:03:39,180",Who loves you?,1,6.569999999999993,"#27, ","220.12, ","226.69, ",217.72,219.18
54,"00:03:40,890","00:03:42,475",[speaks in childish gibberish],0,0.0,,,,220.89,222.47
55,"00:03:44,352","00:03:47,688","If you're a real winner, then you'll-- Has anyone ever blacked out",0,0.0,,,,224.35,227.69
56,"00:03:47,772","00:03:49,941",and been awake when they've come out of it?,0,0.0,,,,227.77,229.94
57,"00:03:50,024","00:03:52,985","-[woman] Yes! -Thank you! Thank you, sister!",1,4.590000000000003,"#28, ","230.04, ","234.63, ",230.02,232.99
58,"00:03:53,778","00:03:55,988",It's cool 'cause it's like you're a time traveler.,0,0.0,,,,233.78,235.99
59,"00:03:56,072","00:03:58,574","You're just, like, back in your body, like...",2,5.72999999999999,"#29, #30, ","236.49, 237.84, ","237.48, 242.58, ",236.07,238.57
60,"00:04:01,035","00:04:04,247","""What are people wearing now?"" And you just kind of keep moving.",2,4.4599999999999795,"#31, #32, ","243.28, 247.0, ","245.51, 249.23, ",241.03,244.25
61,"00:04:07,667","00:04:09,961","I, one time, in college-- thank you--",0,0.0,,,,247.67,249.96
62,"00:04:10,044","00:04:12,088","I came out of a blackout,",0,0.0,,,,250.04,252.09
63,"00:04:12,755","00:04:16,801",and there was a stranger going down on me.,2,3.069999999999993,"#33, #34, ","254.33, 256.61, ","255.09, 258.92, ",252.75,256.8
64,"00:04:19,220","00:04:21,264","So, I was like, ""Okay.""",1,1.759999999999991,"#35, ","260.73, ","262.49, ",259.22,261.26
65,"00:04:22,556","00:04:25,351",I decided to tap him gently.,2,1.920000000000016,"#36, #37, ","264.63, 266.3, ","265.81, 267.04, ",262.56,265.35
66,"00:04:26,978","00:04:29,146","So as not to startle him, you know?",2,6.930000000000007,"#38, #39, ","267.85, 270.64, ","269.76, 275.66, ",266.98,269.15
67,"00:04:33,150","00:04:34,151","""Sir!""",0,0.0,,,,273.15,274.15
68,"00:04:34,235","00:04:35,486",So--,0,0.0,,,,274.24,275.49
69,"00:04:37,363","00:04:39,490","'Cause I'm laying there, and I'm like,",1,0.8900000000000432,"#40, ","279.03, ","279.92, ",277.36,279.49
70,"00:04:39,991","00:04:42,451","""What do I know about this guy at this point, right?",0,0.0,,,,279.99,282.45
71,"00:04:43,494","00:04:45,871",I know that he has brown hair.,1,1.8400000000000318,"#41, ","285.83, ","287.67, ",283.49,285.87
72,"00:04:50,251","00:04:52,044","And I know that he is a hero.""",2,11.689999999999998,"#42, #43, ","290.41, 291.78, ","291.2, 302.68, ",290.25,292.04
73,"00:04:58,342","00:05:00,428","He's brave, okay?",0,0.0,,,,298.34,300.43
74,"00:05:01,429","00:05:03,597","He's brave, and I'm gonna tell you why he's brave,",0,0.0,,,,301.43,303.6
75,"00:05:03,681","00:05:07,643",and this does not leave this theater.,1,2.579999999999984,"#44, ","306.69, ","309.27, ",303.68,307.64
76,"00:05:09,312","00:05:11,314",And this does not leave your home.,0,0.0,,,,309.31,311.31
77,"00:05:12,690","00:05:16,736",Here's why he's brave. On my pussy's best day...,2,5.589999999999975,"#45, #46, ","317.24, 319.61, ","317.98, 324.46, ",312.69,316.74
78,"00:05:21,365","00:05:22,867",It's not every day.,0,0.0,,,,321.37,322.87
79,"00:05:24,869","00:05:26,329",It's almost no day.,1,4.329999999999984,"#47, ","325.6, ","329.93, ",324.87,326.33
80,"00:05:28,372","00:05:30,652","But, you know, you wake up, you're having a good puss day.",1,0.9500000000000455,"#48, ","331.02, ","331.97, ",328.37,330.65
81,"00:05:31,375","00:05:33,215","And maybe you know you're gonna have a visitor,",0,0.0,,,,331.38,333.21
82,"00:05:33,294","00:05:36,922","so in the shower, you get very real in there, you know.",2,6.82000000000005,"#49, #50, ","334.09, 336.26, ","335.3, 341.87, ",333.29,336.92
83,"00:05:37,006","00:05:39,800",You pull things back you don't usually.,0,0.0,,,,337.01,339.8
84,"00:05:40,801","00:05:43,637",You kind of <i>Minority Report</i> your own pussy.,1,20.739999999999952,"#51, ","343.29, ","364.03, ",340.8,343.64
85,"00:05:43,721","00:05:45,765",[grunting],0,0.0,,,,343.72,345.76
86,"00:05:45,848","00:05:49,101",You get in. It's like <i>Stranger Things</i>. You just kind of get in.,0,0.0,,,,345.85,349.1
87,"00:05:49,769","00:05:52,646","""Gotta find Barb, guys. She's in there.""",0,0.0,,,,349.77,352.65
88,"00:05:53,814","00:05:55,941","If you have access to a detachable showerhead,",0,0.0,,,,353.81,355.94
