,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
53,"00:02:43,538","00:02:44,623",Whoa.,0,0.0,,,,163.54,164.62
54,"00:02:46,124","00:02:48,460",The reason it happened was I had an epiphany.,0,0.0,,,,166.12,168.46
55,"00:02:48,543","00:02:50,587",I was so sick of myself asking that question,1,4.009999999999991,"#31, ","168.77, ","172.78, ",168.54,170.59
56,"00:02:50,670","00:02:52,214",of people in relationships:,0,0.0,,,,170.67,172.21
57,"00:02:52,297","00:02:53,799","""How did you guys meet?",0,0.0,,,,172.3,173.8
58,"00:02:53,882","00:02:57,552","Did your hands come together by accident in a garden?""",1,2.7700000000000102,"#32, ","176.26, ","179.03, ",173.88,177.55
59,"00:02:58,970","00:03:01,181",And what do people in relationships always say?,1,0.6399999999999864,"#33, ","180.46, ","181.1, ",178.97,181.18
60,"00:03:01,264","00:03:02,265","They always say,",0,0.0,,,,181.26,182.26
61,"00:03:02,349","00:03:05,852","""Um, well, we just met and we genuinely liked each other,",1,0.5900000000000034,"#34, ","183.18, ","183.77, ",182.35,185.85
62,"00:03:05,936","00:03:08,063","and, you know, there's ups and downs.",1,2.299999999999983,"#35, ","186.36, ","188.66, ",185.94,188.06
63,"00:03:08,146","00:03:10,774","We like each other, so we stay together.""",1,2.5,"#36, ","190.87, ","193.37, ",188.15,190.77
64,"00:03:11,817","00:03:12,818",Oh.,0,0.0,,,,191.82,192.82
65,"00:03:13,819","00:03:15,987","Oh, I'm sorry if you're bored",1,0.5900000000000034,"#37, ","194.27, ","194.86, ",193.82,195.99
66,"00:03:16,071","00:03:18,573",with your miracle!,2,2.719999999999999,"#38, #39, ","196.1, 198.48, ","197.04, 200.26, ",196.07,198.57
67,"00:03:19,866","00:03:23,203",And it seems like to me romance takes a lot more than that.,0,0.0,,,,199.87,203.2
68,"00:03:23,286","00:03:25,455","Like, you gotta want it, but no.",2,4.449999999999989,"#40, #41, ","203.63, 205.47, ","204.89, 208.66, ",203.29,205.46
69,"00:03:25,539","00:03:26,706",Be available.,0,0.0,,,,205.54,206.71
70,"00:03:26,790","00:03:27,833",Too busy.,0,0.0,,,,206.79,207.83
71,"00:03:27,916","00:03:29,292",He's the one.,0,0.0,,,,207.92,209.29
72,"00:03:29,376","00:03:31,211",But that's the deal breaker.,1,1.210000000000008,"#42, ","210.57, ","211.78, ",209.38,211.21
73,"00:03:31,294","00:03:33,672",The odds of falling in love with the perfect person,0,0.0,,,,211.29,213.67
74,"00:03:33,755","00:03:35,900","at the perfect time are about the odds of, I don't know,",0,0.0,,,,213.75,215.9
75,"00:03:35,924","00:03:38,051",being discovered in Hollywood. Wait a minute.,1,3.640000000000015,"#43, ","217.7, ","221.34, ",215.92,218.05
76,"00:03:39,219","00:03:42,514","I asked a similarly desperate question for many years,",0,0.0,,,,219.22,222.51
77,"00:03:42,597","00:03:45,517","which was, how do you make it in show business?",0,0.0,,,,222.6,225.52
78,"00:03:45,600","00:03:49,271",Do you move to San Diego and disguise yourself as a bush?,1,1.5100000000000193,"#44, ","229.45, ","230.96, ",225.6,229.27
79,"00:03:50,939","00:03:53,024",Moving slowly northward,1,0.9000000000000057,"#45, ","232.96, ","233.86, ",230.94,233.02
80,"00:03:53,692","00:03:55,485",beneath the cover of dusk?,2,2.0200000000000102,"#46, #47, ","235.18, 236.54, ","235.94, 237.8, ",233.69,235.49
81,"00:03:57,446","00:03:59,740",And what do famous people always say?,1,1.5,"#48, ","239.72, ","241.22, ",237.45,239.74
82,"00:03:59,823","00:04:01,116","They always say,",0,0.0,,,,239.82,241.12
