,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
794,"00:45:01,532","00:45:04,327",“That’s Tracy Morgan from <i>Saturday Night Live.”</i>,1,4.099999999999909,"#430, ","2703.62, ","2707.72, ",2701.53,2704.33
795,"00:45:06,203","00:45:07,663","“If the nigga pee in these shrubs,",0,0.0,,,,2706.2,2707.66
796,"00:45:07,747","00:45:10,583",that’s gonna be Tracy Morgan from <i>Saturday Night Dead.”</i>,1,1.830000000000382,"#431, ","2709.99, ","2711.82, ",2707.75,2710.58
797,"00:45:13,586","00:45:15,546",My wife is strong. She’s a strong woman.,0,0.0,,,,2713.59,2715.55
798,"00:45:15,630","00:45:18,049",She showed me her strength. She’s strong.,1,1.7899999999999636,"#432, ","2716.65, ","2718.44, ",2715.63,2718.05
799,"00:45:18,132","00:45:20,051","As a woman, you would have to be strong",1,1.930000000000291,"#433, ","2718.91, ","2720.84, ",2718.13,2720.05
800,"00:45:20,134","00:45:22,970",to have a motherfucker with a face like this on top of you.,1,8.099999999999909,"#434, ","2722.81, ","2730.91, ",2720.13,2722.97
801,"00:45:30,227","00:45:33,564",I look like a cross between Wesley Snipes and Biz Markie.,2,6.200000000000273,"#435, #436, ","2733.35, 2739.81, ","2738.27, 2741.09, ",2730.23,2733.56
802,"00:45:40,363","00:45:44,116",I remember the first time I had sex with my wife after the accident.,0,0.0,,,,2740.36,2744.12
803,"00:45:44,200","00:45:45,576",I came hard.,1,1.1900000000000546,"#437, ","2745.37, ","2746.56, ",2744.2,2745.58
804,"00:45:46,494","00:45:48,913","I mean, I came hard. Like in high school.",1,0.6199999999998909,"#438, ","2749.87, ","2750.49, ",2746.49,2748.91
805,"00:45:51,499","00:45:52,792",I came hard.,1,2.2200000000002547,"#439, ","2752.49, ","2754.71, ",2751.5,2752.79
806,"00:45:53,960","00:45:56,462","Remember in high school, you’d come hard and shit?",1,0.8900000000003274,"#440, ","2757.62, ","2758.51, ",2753.96,2756.46
807,"00:45:58,506","00:46:00,216",I had a William Tell dick.,1,7.610000000000127,"#441, ","2760.06, ","2767.67, ",2758.51,2760.22
808,"00:46:00,299","00:46:02,593",I could knock an apple off your head from right here.,0,0.0,,,,2760.3,2762.59
809,"00:46:07,473","00:46:10,434","Remember in high school, your dick got hard-- that high school hard-on?",0,0.0,,,,2767.47,2770.43
810,"00:46:10,518","00:46:12,603","You could break brick with that dick, goddamn it.",1,3.4900000000002365,"#442, ","2771.58, ","2775.07, ",2770.52,2772.6
811,"00:46:14,355","00:46:17,358","But when you get in your 40s and 50s, you’re playing semipro now.",1,3.119999999999891,"#443, ","2777.07, ","2780.19, ",2774.36,2777.36
812,"00:46:19,777","00:46:23,280",She gotta suck your dick for two hours just to get you semi-hard.,1,2.6799999999998363,"#444, ","2781.44, ","2784.12, ",2779.78,2783.28
813,"00:46:24,240","00:46:26,492","Her nose start bleeding, mascara running.",1,3.1100000000001273,"#445, ","2785.68, ","2788.79, ",2784.24,2786.49
814,"00:46:27,159","00:46:30,246",She gotta dislocate her jaw like a boa constrictor.,1,10.179999999999836,"#446, ","2789.59, ","2799.77, ",2787.16,2790.25
815,"00:46:36,335","00:46:37,335",“You need help.”,0,0.0,,,,2796.34,2797.34
816,"00:46:39,046","00:46:42,091","And, ladies, when you’re making love, spit on his dick. Spit on it.",1,2.4900000000002365,"#447, ","2800.77, ","2803.26, ",2799.05,2802.09
817,"00:46:43,259","00:46:45,594",Spit on that dick. I love when a woman spit on my--,0,0.0,,,,2803.26,2805.59
818,"00:46:45,678","00:46:47,263",Spit on it like you hate it.,1,4.140000000000327,"#448, ","2806.66, ","2810.8, ",2805.68,2807.26
819,"00:46:48,305","00:46:51,225",Call it a racial slur. “You Czechoslovakian son of a”--,1,4.25,"#449, ","2811.6, ","2815.85, ",2808.3,2811.22
820,"00:46:52,143","00:46:53,143",Goddamn it.,0,0.0,,,,2812.14,2813.14
821,"00:46:53,185","00:46:54,812",Spit on that fuckin’ dick.,0,0.0,,,,2813.18,2814.81
822,"00:46:55,438","00:46:57,064",“You Ecuadorean mother”--,1,10.190000000000055,"#450, ","2816.65, ","2826.84, ",2815.44,2817.06
823,"00:46:58,691","00:47:00,568",“You Mexican immigrant <i>puto”--</i>,0,0.0,,,,2818.69,2820.57
824,"00:47:00,651","00:47:02,737","Please, spit on that dick, goddamn it.",0,0.0,,,,2820.65,2822.74
825,"00:47:03,404","00:47:05,114",Spit on that fucking dick.,1,0.8899999999998727,"#451, ","2828.06, ","2828.95, ",2823.4,2825.11
826,"00:47:08,743","00:47:12,580","I’m an older man now. So being intimate with my wife now, you know,",0,0.0,,,,2828.74,2832.58
827,"00:47:12,663","00:47:14,081","is different, you know.",0,0.0,,,,2832.66,2834.08
828,"00:47:14,165","00:47:16,792","Before sex, I gotta pull out a black tool bag.",1,2.519999999999982,"#452, ","2836.91, ","2839.43, ",2834.16,2836.79
829,"00:47:18,669","00:47:20,713",Inside the bag is a Zorro mask...,1,1.7199999999998,"#453, ","2840.23, ","2841.95, ",2838.67,2840.71
830,"00:47:21,547","00:47:24,967","a vibrator, some spare batteries and an apology letter.",1,3.3899999999998727,"#454, ","2844.3, ","2847.69, ",2841.55,2844.97
831,"00:47:27,428","00:47:29,013",“What’s the apology letter for?”,0,0.0,,,,2847.43,2849.01
832,"00:47:29,096","00:47:30,096",“You’ll see.,1,2.8899999999998727,"#455, ","2849.36, ","2852.25, ",2849.1,2850.1
833,"00:47:31,390","00:47:32,390",You’ll see.”,2,2.480000000000018,"#456, #457, ","2854.75, 2858.09, ","2855.98, 2859.34, ",2851.39,2852.39
834,"00:47:38,272","00:47:42,068","I don’t care who you are here. If you’re a couple, keep fucking.",1,3.2600000000002183,"#458, ","2861.43, ","2864.69, ",2858.27,2862.07
835,"00:47:42,151","00:47:44,278",You got to. Keep your relationship hot.,0,0.0,,,,2862.15,2864.28
836,"00:47:44,737","00:47:46,590","’Cause if y’all live together and y’all not fucking no more,",0,0.0,,,,2864.74,2866.59
837,"00:47:46,614","00:47:48,074",y’all are nothing but roommates.,1,5.130000000000109,"#459, ","2868.0, ","2873.13, ",2866.61,2868.07
838,"00:47:49,617","00:47:52,554",Don’t let her start that headache shit. ’Cause they always start with that.,0,0.0,,,,2869.62,2872.55
839,"00:47:52,578","00:47:53,412",“I got a headache.”,0,0.0,,,,2872.58,2873.41
